Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_6297,Chrome 88.0.4324.104,Zestaw testow sprawdzający poprawnośc weryfikacji wprowadzonych danych kupujacego przez sklep saucedemo.com,,2021-01-31 20:50:57,2021-01-31 20:52:57,"1m - 59,752s",FAILED
,,,,,,,
Test Cases/TC_6297_1,Chrome 88.0.4324.104,Test dokonania zakupu w sklepie z podaniem prawidłowych danych,,2021-01-31 20:51:02,2021-01-31 20:51:34,"32,665s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-31 20:51:04,2021-01-31 20:51:16,"11,617s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 88.0.4324.104,,,2021-01-31 20:51:16,2021-01-31 20:51:17,"0,966s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), varLogin)",Chrome 88.0.4324.104,,,2021-01-31 20:51:17,2021-01-31 20:51:18,"1,544s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), varPassword)",Chrome 88.0.4324.104,,,2021-01-31 20:51:18,2021-01-31 20:51:20,"1,598s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:20,2021-01-31 20:51:22,"1,797s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:22,2021-01-31 20:51:23,"0,946s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:23,2021-01-31 20:51:23,"0,598s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/svg_Open Menu_svg-inline--fa fa-shopping-ca_f4ec0f""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:23,2021-01-31 20:51:24,"1,087s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_CHECKOUT""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:24,2021-01-31 20:51:25,"1,050s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_first-name""), varName)",Chrome 88.0.4324.104,,,2021-01-31 20:51:25,2021-01-31 20:51:27,"1,215s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_last-name""), varLastname)",Chrome 88.0.4324.104,,,2021-01-31 20:51:27,2021-01-31 20:51:28,"1,157s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_postal-code""), varPostcode)",Chrome 88.0.4324.104,,,2021-01-31 20:51:28,2021-01-31 20:51:29,"1,208s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_CANCEL_btn_primary cart_button""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:29,2021-01-31 20:51:30,"1,155s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_FINISH""))",Chrome 88.0.4324.104,,,2021-01-31 20:51:30,2021-01-31 20:51:32,"1,569s",PASSED
